"","Target","Dataset","Sample_ID","Hive","Date","Bee_type","Scab","gut_mg","Extractor","Cq","SD","actin_Cq","actin_CopyNum","CopyNum","CellNum","Present","CopyNum_norm","CellNum_norm"
"62","Ba","mm","558","DdM","170316","F","0","NA","M",24.5274,"0.245998353653027",20.7762333333333,9321361.78457649,1320522.35698773,660261.178493867,1,1369234,684617
"63","Ba","mm","29","DdM","150513","F","1","NA","PLO",23.2286,"0.36880547718275503",21.1616666666667,7284356.78973701,3356809.98291338,1678404.99145669,1,4453966,2226983
"64","Ba","mm","196","DdM","151215","F","1","NA","M",22.1742666666667,"0.200464119815325",21.7903333333333,4872182.08813885,7158838.29571587,3579419.14785794,1,14201373,7100687
"65","Ba","mm","107","DdM","150817","F","0","NA","PLO",21.8717333333333,"4.7264821308593399E-2",22.2909,3537096.45183872,8896569.25344067,4448284.62672034,1,24310112,12155056
"66","Ba","mm","468","DdM","161116","W","0","NA","M",16.0793,"0.108187337521541",21.8767,4610282.52191446,570509464.736642,285254732.368321,1,1196042506,598021253
"67","Ba","mm","333","DdM","160517","F","0","NA","P",24.9135666666667,"8.6213069388192606E-2",20.2247,13265281.3702553,1000633.45568349,500316.727841747,1,729071,364536
"68","Ba","mm","241","DdM","160113","W","0","NA","M",16.4410666666667,"6.3699319724257797E-2",20.7430666666667,9521258.04804009,439950764.473468,219975382.236734,1,446602389,223301194
"69","Ba","mm","152","DdM","151014","F","1","NA","L",18.6069,"9.8994949366112001E-3",20.6722666666667,9962430.15565702,92840709.4728127,46420354.7364063,1,90070892,45035446
"70","Ba","mm","290","DdM","160314","W","0","NA","M",17.1881333333333,"9.33791375700882E-2",21.5130666666667,5817800.42828734,257243808.48738,128621904.24369,1,427363485,213681742
"71","Ba","mm","197","DdM","151215","F","1","NA","M",20.0796,"0.14669829583195701",21.1266,7449619.20174875,32233437.479948,16116718.739974,1,41819983,20909991
"72","Ba","mm","121","DdM","150817","F","1","NA","PLO",19.7259666666667,"6.3618576951494601E-2",20.9290666666667,8453107.76727545,41555458.5477718,20777729.2738859,1,47514151,23757076
"73","Ba","mm","108","DdM","150817","F","0","NA","PLO",19.0606666666667,"6.7001815895790504E-2",21.0673,7737664.35369251,67016050.9758006,33508025.4879003,1,83710560,41855280
"74","Ba","mm","334","DdM","160517","F","0","NA","P",20.7644666666667,"3.8200043629994102E-2",19.461,21622285.6842762,19708416.906392,9854208.45319601,1,8809707,4404853
"75","Ba","mm","258","DdM","160217","W","0","NA","M",19.0628666666667,"7.2328164177818399E-2",21.0123243331909,8014643.96598738,66910227.7790023,33455113.8895012,1,80689974,40344987
"76","Ba","mm","242","DdM","160113","W","0","NA","M",24.2039,"6.0807647545354601E-2",21.1017,7569239.51990732,1665967.97820762,832983.98910381,1,2127285,1063643
"77","Ba","mm","153","DdM","151014","F","0","NA","L",25.0514666666667,"0.140991678241423",20.7827,9282878.71919744,906264.471642837,453132.235821419,1,943591,471795
"78","Ba","mm","198","DdM","151215","F","0","NA","M",24.3838333333333,"8.51615719285016E-2",22.6352666666667,2837714.12536314,1463974.8919118,731987.445955902,1,4986276,2493138
"79","Ba","mm","425","DdM","160914","F","1","NA","M",22.7743666666667,"0.104138865623424",20.0742666666667,14605371.6584496,4651917.02649827,2325958.51324914,1,3078440,1539220
"80","Ba","mm","47","DdM","150513","F","1","NA","PLO",19.7047,"2.5557190768939801E-2",20.5615,10694008.2718686,42195151.3161445,21097575.6580722,1,38135841,19067921
"81","Ba","mm","109","DdM","150817","F","1","NA","PLO",19.946,"5.18841979797331E-2",21.0451,7848341.60635101,35480132.6448239,17740066.3224119,1,43693681,21846841
"82","Ba","mm","515","DdM","170117","W","1","NA","M",15.4810666666667,"5.8232837242687303E-2",20.9664,8253606.78706908,876780960.898132,438390480.449066,1,1026735638,513367819
"83","Ba","mm","380","DdM","160715","F","1","NA","P",20.9931,"6.75105176990973E-2",21.0705666666667,7721510.77180663,16723454.4580508,8361727.22902538,1,20933170,10466585
"84","Ba","mm","243","DdM","160217","W","0","NA","M",14.78125,"2.80721392131058E-2",21.1711184183757,7240443.19400532,1449472163.03171,724736081.515854,1,1934888882,967444441
"85","Ba","mm","154","DdM","151014","F","1","NA","L",16.6388,"0.210152135368642",20.5922333333333,10485801.1496147,381696402.536675,190848201.268337,1,351825853,175912927
"86","Ba","mm","292","DdM","160419","F","0","NA","P",17.8769,"3.6826756577250597E-2",20.1095,14279843.3157418,156845976.592416,78422988.2962079,1,106160081,53080040
"87","Ba","mm","470","DdM","161116","W","1","NA","M",19.7754333333333,"0.15960270465544499",21.5311333333333,5750944.90144993,40104783.6292629,20052391.8146315,1,67401300,33700650
"88","Ba","mm","336","DdM","160517","F","0","NA","P",24.0740333333333,"2.5087114886597501E-2",19.9781666666667,15531481.2460478,1828860.54163812,914430.27081906,1,1138096,569048
"89","Ba","mm","11","DdM","150411","F","0","NA","PLO",30.02865,"0.133855313678613",21.3534666666667,6443203.04094155,25383.1005000491,12691.5502500246,1,38076,19038
"90","Ba","mm","562","DdM","170316","F","1","NA","M",21.85605,"7.4246212024590297E-3",20.9286,8455631.80516834,8997362.64167906,4498681.32083953,1,10284436,5142218
"91","Ba","mm","244","DdM","160217","W","1","NA","M",13.7720333333333,"0.14413064675263701",21.2688757578532,6801495.48853499,2992614825.13506,1496307412.56753,1,4252631083,2126315542
"93","Ba","mm","155","DdM","151014","F","0","NA","L",23.4823,"0.11576618677316799",20.4908,11188804.5070211,2797570.69512756,1398785.34756378,1,2416622,1208311
"94","Ba","mm","471","DdM","161116","W","0","NA","M",15.1951,"0.205060966544098",21.6999,5162372.72333929,1076720274.02412,538360137.012058,1,2015880731,1007940366
"95","Ba","mm","337","DdM","160517","F","0","NA","P",28.5977,"0.111072453830821",19.42485,22128167.8420919,70949.9234127495,35474.9617063748,1,30990,15495
"96","Ba","mm","260","DdM","160217","W","0","NA","M",15.5553,"5.3584232755540598E-2",21.1987330118815,7113654.33025151,831252299.644679,415626149.822339,1,1129409411,564704706
"97","Ba","mm","110","DdM","150817","F","0","NA","PLO",23.2699333333333,"8.8046711087544596E-2",20.8117333333333,9112050.19603094,3258608.43564809,1629304.21782405,1,3456427,1728213
"98","Ba","mm","245","DdM","160217","W","0","NA","M",14.3487333333333,"6.6493332999130905E-2",21.1264457702637,7450354.27643749,1977608074.97993,988804037.489965,1,2565515262,1282757631
